"movie_name"
"0.0赫茲"
"1/2的魔法"
"100%小狼人"
"108悍將"
"12猛漢"
"1917"
"1918"
"1987：黎明到來的那一天"
"2001太空漫遊"
"24週"
"2點22分"
"2gether電影版：只因我們天生一對"
"3月的獅子後篇"
"3月的獅子前篇"
"461個便當"
"52赫茲我愛你"
"72小時前哨救援"
"82年生的金智英"
"8級警戒"
"8釐米：詛咒影帶"
"90分鐘末日倒數"
"阿凡達"
"阿凡達：水之道"
"阿飛正傳"
"阿公當家"
"阿基拉"
"阿基米德大戰"
"阿姐響叮噹"
"阿拉丁"
"阿莉芙"
"阿姆斯特丹"
"阿依達的救援行動"
"阿紫"
"艾莉塔：戰鬥天使"
"艾蜜莉的異想世界"
"愛.殺"
"愛‧滿人間"
"愛國者行動"
"愛哭鬼的棋蹟"
"愛麗絲夢遊仙境"
"愛麗絲與夢幻島"
"愛情，是開始還是結束"
"愛情昏迷中"
"愛情零極限"
"愛情人形"
"愛情陷阱"
"愛上變身情人"
"愛上觸不到的你"
"愛上謊言的女人"
"愛上火星男孩"
"愛上有機男"
"愛是您·愛是我"
"愛在九月來臨前"
"愛在黎明破曉時"
"愛在末路之境"
"愛在日落巴黎時"
"愛在午夜希臘時"
"愛重奏"
"安眠醫生"
"安娜"
"安娜貝爾：造孽"
"安娜貝爾回家囉"
"安雅與魔女"
"闇黑電話"
"闇罪無間"
"奧本海默"
"八美圖"
"八月"
"八月三十一日，我在奧斯陸"
"巴比倫"
"巴黎野玫瑰"
"巴黎之王：闇黑正義"
"巴斯光年"
"疤面教父"
"把哥哥退貨可以嗎"
"霸王別姬"
"白髮魔女傳"
"白頭山：半島浩劫"
"白蟻"
"白晝的流星"
"柏靈頓熊熊出任務"
"擺渡人"
"班恩回家"
"辦公室大狂殺"
"綁架"
"薄荷糖"
"寶貝老闆"
"寶貝老闆：家大業大"
"寶可夢：皮卡丘與可可的冒險"
"報告老師！怪怪怪怪物！"
"悲慘世界"
"北非諜影"
"北風"
"北海浩劫"
"北海小英雄"
"貝爾法斯特"
"被愛妄想症"
"本來面目"
"本能寺大飯店"
"本日公休"
"比悲傷更悲傷的故事"
"比得兔"
"比海還深"
"彼岸花"
"碧海藍天"
"碧藍之海劇場版"
"蝙蝠俠"
"蝙蝠俠：開戰時刻"
"邊境奇譚"
"變調的灰姑娘"
"變身"
"變身特務"
"變形金剛：萬獸崛起"
"變種人"
"飆風特警隊"
"飆速宅男"
"表情符號電影"
"婊兄弟上路"
"別闖陰陽界"
"別擔心親愛的"
"別告訴她"
"別敲兩次門"
"別問我是誰"
"冰菓"
"冰上情緣"
"冰雪奇緣2"
"冰血驚魂"
"波伽利：聲命之歌"
"波斯語課"
"波希米亞狂想曲"
"菠蘿蜜"
"不!"
"不丹是教室"
"不幹了！我開除了黑心公司"
"不管媽媽多麼討厭我"
"不汗黨：地下秩序"
"不可能的任務：全面瓦解"
"不離職冒險王"
"不容易的爸爸"
"不完美的正義"
"不想一個人"
"布魯克林孤兒"
"佈局"
"猜猜我是誰"
"菜鳥警校生"
"菜英文沒在怕"
"藏匿處"
"操控"
"拆彈少年"
"拆彈專家"
"拆彈專家2"
"顫役輪迴"
"娼年"
"超級瑪利歐兄弟電影版"
"超慄方殺陣"
"超難搞先生"
"超人特攻隊2"
"超速性追緝"
"超完美狗保姆"
"超完美社區"
"超危險駕駛"
"超越無限2分鐘"
"沉默"
"沉默的羔羊"
"沉默的目擊者"
"晨曦將至"
"成為母親之後"
"城市獵人"
"乘浪之約"
"吃吃的愛"
"痴情男子漢"
"叱咤風雲"
"赤手登峰"
"沖天火"
"寵物當家2"
"抽屍剝繭"
"出發"
"出租女友"
"初戀"
"初戀慢半拍"
"怵目驚魂28天"
"吹哨人"
"春光乍洩"
"春光之境"
"春嬌救志明"
"春宵苦短，少女前進吧！"
"椿花散落"
"純情"
